SampleID	Group	Number of detected VFGs 
L1	Low_latitudes1	10
L2	Low_latitudes	20
L3	Low_latitudes	3
L4	Low_latitudes	13
L5	Low_latitudes	11
L6	Low_latitudes	0
L7	Low_latitudes	4
L8	Low_latitudes	1
L9	Low_latitudes	3
L10	Low_latitudes	6
L11	Low_latitudes	4
L12	Low_latitudes	6
L13	Low_latitudes	3
L14	Low_latitudes	7
L15	Low_latitudes	5
L16	Low_latitudes	3
L17	Low_latitudes	5
L18	Low_latitudes	9
L19	Low_latitudes	6
L20	Low_latitudes	4
L21	Low_latitudes	5
M1	Mid_latitudes1	14
M2	Mid_latitudes2	8
M3	Mid_latitudes3	9
M4	Mid_latitudes4	10
M5	Mid_latitudes5	9
M6	Mid_latitudes6	9
M7	Mid_latitudes7	16
M8	Mid_latitudes8	13
M9	Mid_latitudes9	7
M10	Mid_latitudes10	7
M11	Mid_latitudes11	12
M12	Mid_latitudes12	7
M13	Mid_latitudes13	11
M14	Mid_latitudes14	10
M15	Mid_latitudes15	4
M16	Mid_latitudes16	15
M17	Mid_latitudes17	12
M18	Mid_latitudes18	10
M19	Mid_latitudes19	7
M20	Mid_latitudes20	4
M21	Mid_latitudes21	12
H1	High_latitudes1	9
H2	High_latitudes2	11
H3	High_latitudes3	6
H4	High_latitudes4	17
H5	High_latitudes5	6
H6	High_latitudes6	5
H7	High_latitudes7	9
H8	High_latitudes8	22
H9	High_latitudes9	15
H10	High_latitudes10	16
H11	High_latitudes11	1
H12	High_latitudes12	7
H13	High_latitudes13	4
H14	High_latitudes14	13
H15	High_latitudes15	1
H16	High_latitudes16	7
H17	High_latitudes17	2
H18	High_latitudes18	5
H19	High_latitudes19	1
H20	High_latitudes20	2
H21	High_latitudes21	3
